D,Flow,Flow
0.1076,4.51061,4.762633333
0.124933,5.38892,5.068633333
0.152533,6.34564,5.374833333
0.171267,7.07165,5.668433333
0.194267,7.76799,5.964966667
0.2128,8.55266,6.266766667
0.233333,9.06941,6.526433333
0.251533,9.75684,6.800666667
0.269467,10.3656,7.133966667
0.282133,10.412,7.378366667
0.295333,10.9642,7.598633333
0.312867,11.2137,7.905033333
0.329867,10.7306,8.143266667
0.336667,10.8856,8.402066667
0.355533,10.8889,8.556333333
0.365867,10.9439,8.8684
0.385533,9.10383,9.096333333
0.400133,9.80342,9.180766667
0.405,10.0476,9.413266667
0.419867,9.55708,9.555933333
0.429467,8.7111,9.596166667
0.4368,8.74438,9.658066667
0.451133,7.57644,9.6625
0.4614,7.60755,9.749766667
0.480133,7.06549,9.7758
0.477667,8.03119,9.666533333
0.492067,5.92677,9.646133333
0.49833,5.25571,9.623533333
0.5036,5.89038,9.1342
0.5188,5.10876,8.639766667
0.5284,4.56335,8.758766667
0.536867,4.09912,8.381666667
0.542933,4.35079,8.216333333
0.549667,4.83933,8.010066667
0.5596,4.06531,7.3063
0.5672,3.25859,7.1787
0.576133,2.3349,6.8066
0.583667,2.52445,6.222533333
0.589067,2.42391,6.168733333
0.5974,2.05122,5.8126
0.603067,2.14942,5.573533333
0.607867,2.11867,5.235633333
0.620667,1.64628,5.006333333
0.6212,1.45903,4.598
0.6302,1.57757,4.3677
0.6348,1.29558,4.0452
0.6426,1.60191,3.848266667
0.651333,1.00573,3.669766667
0.6544,0.804772,3.09227
0.659467,0.995823,2.90297
