Density,(0:100),(0:100),(25:75),(25:75),(50:50),(50:50),(75:25),(75:25),(100:0),(100:0)
0.01,0,0.0178957,0.0548273,0.0241398,0.0274212,0.0365385,0.0182794,0.0721946,0.013711,0
0.02,0,0.033435,0.109627,0.0445985,0.0548042,0.0655722,0.0365394,0.133197,0.0274029,0
0.03,0,0.0472895,0.164426,0.0638509,0.0821997,0.0945876,0.0548112,0.191425,0.0410975,0
0.04,0,0.0611827,0.219083,0.0814899,0.109574,0.122061,0.0730429,0.244827,0.0548008,0
0.05,0,0.0743359,0.273726,0.0982689,0.13681,0.147597,0.0912553,0.296712,0.068424,0
0.06,0,0.0872578,0.328159,0.116016,0.164032,0.174387,0.10941,0.349237,0.082041,0
0.07,0,0.100776,0.38259,0.133906,0.19129,0.200667,0.127455,0.402559,0.0956313,0
0.08,0,0.113608,0.436816,0.15154,0.218459,0.227587,0.145629,0.45447,0.109196,0
0.09,0,0.126949,0.4907,0.169218,0.245442,0.253961,0.163591,0.507383,0.122754,0
0.1,0,0.140341,0.544713,0.186884,0.272555,0.280534,0.181599,0.561272,0.136186,0
0.11,0,0.153673,0.598511,0.204717,0.299265,0.306861,0.199488,0.614508,0.149661,0
0.12,0,0.16668,0.651781,0.222328,0.325847,0.33353,0.217209,0.66675,0.162988,0
0.13,0,0.179673,0.704223,0.239807,0.352076,0.359517,0.234928,0.718861,0.176183,0
0.14,0,0.192763,0.756166,0.256856,0.378281,0.385637,0.252169,0.770342,0.189057,0
0.15,0,0.205268,0.806026,0.273576,0.403164,0.410522,0.268711,0.820655,0.201609,0
0.16,0,0.21702,0.853182,0.289544,0.42663,0.434064,0.284347,0.867821,0.21333,0
0.17,0,0.227327,0.893915,0.303187,0.446993,0.454795,0.2978,0.909939,0.223345,0
0.18,0,0.23465,0.920501,0.312894,0.460619,0.469366,0.307235,0.939714,0.230454,0
0.19,0,0.23938,0.936153,0.318425,0.468477,0.478317,0.312268,0.956431,0.234343,0
0.2,0,0.239693,0.94066,0.320097,0.470026,0.480128,0.31325,0.958959,0.234728,0
0.21,0,0.240578,0.94199,0.320623,0.470972,0.480779,0.313805,0.96141,0.235403,0
0.22,0,0.239268,0.939212,0.319507,0.46903,0.478816,0.312187,0.956124,0.235009,0
0.23,0,0.2379,0.932456,0.316788,0.465246,0.474205,0.310379,0.948694,0.232965,0
0.24,0,0.235766,0.926359,0.31443,0.463153,0.471855,0.30858,0.943415,0.231422,0
0.25,0,0.233022,0.915381,0.310429,0.458603,0.466425,0.305124,0.931468,0.228406,0
0.26,0,0.231513,0.911451,0.309028,0.455661,0.463189,0.303405,0.925407,0.227727,0
0.27,0,0.229518,0.904429,0.306102,0.451463,0.458658,0.30165,0.918587,0.226025,0
0.28,0,0.22673,0.893277,0.302137,0.446035,0.452848,0.297611,0.906424,0.223136,0
0.29,0,0.224189,0.883798,0.298863,0.442431,0.448602,0.294864,0.897193,0.221123,0
0.3,0,0.221281,0.872649,0.294876,0.43729,0.443321,0.291168,0.885337,0.218612,0
0.31,0,0.21964,0.867015,0.292654,0.433635,0.439168,0.289381,0.878991,0.216676,0
0.32,0,0.216901,0.856389,0.289164,0.428721,0.43388,0.285722,0.867324,0.2142,0
0.33,0,0.213671,0.844921,0.284877,0.423132,0.427619,0.28165,0.855025,0.211069,0
0.34,0,0.211929,0.839262,0.282876,0.419217,0.424093,0.280012,0.849144,0.209776,0
0.35,0,0.207569,0.822874,0.277113,0.410973,0.415204,0.274034,0.830292,0.205726,0
0.36,0,0.204871,0.812039,0.273445,0.405504,0.409687,0.270485,0.818973,0.202836,0
0.37,0,0.204122,0.808001,0.271874,0.403536,0.40761,0.269178,0.815575,0.201684,0
0.38,0,0.199977,0.792488,0.266468,0.39639,0.40037,0.264583,0.799934,0.198229,0
0.39,0,0.198153,0.785336,0.264021,0.392817,0.396414,0.261878,0.792829,0.196393,0
0.4,0,0.193561,0.767977,0.257998,0.383905,0.386588,0.255953,0.77424,0.19206,0
0.41,0,0.190547,0.758098,0.254348,0.378871,0.381552,0.252463,0.763215,0.189115,0
0.42,0,0.190117,0.755419,0.253794,0.377542,0.380347,0.251651,0.760015,0.188728,0
0.43,0,0.18671,0.741708,0.2491,0.371128,0.373129,0.247299,0.747248,0.1856,0
0.44,0,0.182824,0.726364,0.243984,0.363365,0.365626,0.242035,0.730426,0.181857,0
0.45,0,0.181597,0.721658,0.242069,0.360829,0.363103,0.240582,0.725138,0.180488,0
0.46,0,0.176835,0.703533,0.236002,0.351832,0.353825,0.234369,0.707097,0.175803,0
0.47,0,0.174913,0.695944,0.233237,0.347986,0.349521,0.232277,0.700687,0.17402,0
0.48,0,0.172718,0.686877,0.230291,0.34356,0.345176,0.229115,0.691381,0.171767,0
0.49,0,0.170235,0.677803,0.227169,0.338345,0.340398,0.225934,0.681376,0.169454,0
0.5,0,0.164258,0.65325,0.219135,0.326975,0.328416,0.217983,0.656832,0.163437,0
